"target","times_ranked_first","pct_ranked_first"
"harm_present+social_norms",455,45.5
"belief_concern+weather_risk_prep",388,38.8
"harm_present+weather_risk_prep",157,15.7
"belief_concern+harm_present",0,0
"belief_concern+harm_future",0,0
"belief_concern+social_norms",0,0
"belief_concern+trust_science",0,0
"belief_concern+policy_support",0,0
"harm_present+harm_future",0,0
"harm_present+trust_science",0,0
"harm_present+policy_support",0,0
"harm_future+weather_risk_prep",0,0
"harm_future+social_norms",0,0
"harm_future+trust_science",0,0
"harm_future+policy_support",0,0
"weather_risk_prep+social_norms",0,0
"weather_risk_prep+trust_science",0,0
"weather_risk_prep+policy_support",0,0
"social_norms+trust_science",0,0
"social_norms+policy_support",0,0
"trust_science+policy_support",0,0
